product_id,product_name,category,subcategory,brand,price,rating,review_count,description,material,color,weight_grams,manufacturing_location,recycled_material_percentage,organic_material_percentage,eco_certification,carbon_footprint_kg,water_usage_liters,recyclability_score,repairability_score,product_lifetime_years,packaging_type,source,created_at,image_path,sustainability_score_rule,sustainability_score_ml,sustainability_score,score_explanation
P0012,PureLoom Straight Fit,Jeans,Straight Fit,PureLoom,7446.75,4.6,11,"Straight Fit made from recycled polyester, designed for everyday wear. Manufactured in Bangladesh.",Recycled Polyester,Charcoal,498.8,Bangladesh,100.0,8.6,No Certification,2.6,345.5,0.95,0.8,5.8,Minimal/No Packaging,synthetic_v1,2026-08-01,,0.6575,0.6494,0.6543,"Scored moderately due to 100% recycled material and strong recyclability (0.95/1.0), though no eco-certification."
P0013,EcoWeave Casual Shirt,Shirts,Casual Shirt,EcoWeave,5887.06,2.9,11,"Casual Shirt made from bamboo fabric, designed for everyday wear. Manufactured in Vietnam.",Bamboo Fabric,Navy,875.6,Turkey,4.0,7.8,No Certification,5.73,2769.0,0.58,0.9,3.8,Recycled Cardboard,synthetic_v1,2025-08-14,,0.3379,0.3338,0.3363,"Scored low due to strong repairability (0.90/1.0), though no eco-certification."
P0014,EcoWeave Slim Fit,Jeans,Slim Fit,EcoWeave,5563.09,3.1,3,"Slim Fit made from conventional cotton, designed for everyday wear. Manufactured in India.",Conventional Cotton,Navy,571.6,India,7.5,8.5,No Certification,3.94,4382.3,0.14,0.41,4.0,Recycled Cardboard,synthetic_v1,2026-01-29,,0.2395,0.2436,0.2411,"Scored very low, dragged down by no eco-certification."
P0015,Solstice Studio Wrap Dress,Dresses,Wrap Dress,Solstice Studio,3928.18,4.8,10,"Wrap Dress made from polyester, designed for everyday wear. Manufactured in India.",Polyester,Black,477.5,Turkey,4.7,2.6,GOTS,7.02,2442.6,0.23,0.38,4.2,Recycled Cardboard,synthetic_v1,2025-11-29,,0.3682,0.3629,0.3661,"Scored low due to GOTS certification, though very little organic material (3%)."
P0016,Reforma Linen Shirt,T-Shirts,Linen Shirt,Reforma,5086.58,5.0,6,"Linen Shirt made from hemp blend, designed for everyday wear. Manufactured in China.",Organic Cotton,Black,640.9,Turkey,14.0,8.8,OEKO-TEX,8.28,2608.6,0.18,0.8,4.5,Recycled Cardboard,synthetic_v1,2026-06-24,,0.3446,0.3815,0.3594,"Scored low due to strong repairability (0.80/1.0), though very little organic material (9%)."
P0017,GreenThread Slim Fit,Jeans,Slim Fit,GreenThread,2382.41,4.8,6,"Slim Fit made from polyester, designed for everyday wear. Manufactured in India.",Polyester,White,614.7,Vietnam,2.3,2.8,GOTS,4.26,2528.6,0.44,0.81,3.5,Recycled Cardboard,synthetic_v1,2026-03-14,,0.4771,0.4418,0.463,"Scored low due to GOTS certification and strong repairability (0.81/1.0), though very little recycled material (2%)."
P0018,Reforma Tote Bag,Bags,Tote Bag,Reforma,4590.93,4.6,0,"Tote Bag made from hemp blend, designed for everyday wear. Manufactured in Turkey.",Hemp Blend,Olive,455.2,India,11.1,5.5,OEKO-TEX,5.57,1529.0,0.14,0.83,5.5,Compostable Mailer,synthetic_v1,2026-08-11,,0.4288,0.4417,0.434,"Scored low due to strong repairability (0.83/1.0), though very little organic material (6%)."
P0019,PureLoom Slim Fit,Jeans,Slim Fit,PureLoom,1717.76,4.5,0,"Slim Fit made from recycled polyester, designed for everyday wear. Manufactured in Bangladesh.",Recycled Polyester,Charcoal,139.3,China,59.5,5.6,OEKO-TEX,3.25,1176.5,0.84,0.86,2.2,Minimal/No Packaging,synthetic_v1,2025-09-23,,0.6108,0.6624,0.6314,"Scored moderately due to strong repairability (0.86/1.0) and strong recyclability (0.84/1.0), though very little organic material (6%)."
P0021,Reforma Tote Bag,Bags,Tote Bag,Reforma,1838.26,4.9,7,"Tote Bag made from linen, designed for everyday wear. Manufactured in Vietnam.",Linen,Black,204.6,Portugal,9.6,4.0,OEKO-TEX,8.89,3108.6,0.57,0.37,5.9,Compostable Mailer,synthetic_v1,2026-01-20,,0.3107,0.3544,0.3282,"Scored low due to a long estimated lifespan (5.9 years), though very little organic material (4%)."
P0022,GreenThread Sandals,Shoes,Sandals,GreenThread,7550.97,4.3,11,"Sandals made from bamboo fabric, designed for everyday wear. Manufactured in Bangladesh.",Bamboo Fabric,Terracotta,456.4,China,13.5,1.9,OEKO-TEX,3.27,2808.2,0.36,0.78,4.4,Compostable Mailer,synthetic_v1,2025-09-26,,0.4465,0.4361,0.4423,"Scored low due to strong repairability (0.78/1.0), though very little organic material (2%)."
P0023,Reforma Tote Bag,Bags,Tote Bag,Reforma,5578.88,4.8,5,"Tote Bag made from polyester, designed for everyday wear. Manufactured in Turkey.",Polyester,Beige,436.7,India,4.6,4.1,OEKO-TEX,5.41,2387.0,0.16,0.55,5.7,Compostable Mailer,synthetic_v1,2026-05-16,,0.3703,0.3532,0.3635,"Scored low due to a long estimated lifespan (5.7 years), though very little organic material (4%)."
P0025,TerraFit Tote Bag,Bags,Tote Bag,TerraFit,5886.59,3.5,5,"Tote Bag made from organic cotton, designed for everyday wear. Manufactured in Portugal.",Organic Cotton,Navy,235.1,China,0.7,99.4,GOTS,2.72,991.6,0.33,0.83,3.9,Recycled Cardboard,synthetic_v1,2025-07-29,,0.6417,0.5277,0.5961,"Scored moderately due to 99% organic material and GOTS certification, though very little recycled material (1%)."
P0026,TerraFit Denim Jacket,Jackets,Denim Jacket,TerraFit,4690.94,3.3,8,"Denim Jacket made from polyester, designed for everyday wear. Manufactured in Portugal.",Polyester,Charcoal,767.8,Turkey,7.0,5.6,Global Recycled Standard,8.5,1864.1,0.17,0.58,3.7,Plastic Poly Bag,synthetic_v1,2025-08-16,,0.3508,0.3431,0.3477,"Scored low due to Global Recycled Standard certification, though very little organic material (6%)."
P0027,Bambu & Co Backpack,Bags,Backpack,Bambu & Co,5850.59,3.1,12,"Backpack made from recycled nylon, designed for everyday wear. Manufactured in Vietnam.",Recycled Nylon,Terracotta,816.6,India,81.3,8.4,Fair Trade,2.05,999.9,0.72,0.44,3.2,Plastic Poly Bag,synthetic_v1,2026-05-05,,0.6354,0.6455,0.6394,"Scored moderately due to 81% recycled material and low water usage (1000 L est.), though very little organic material (8%)."
P0028,TerraFit Puffer Jacket,Jackets,Puffer Jacket,TerraFit,4879.6,4.2,11,"Puffer Jacket made from tencel lyocell, designed for everyday wear. Manufactured in Turkey.",Tencel Lyocell,Charcoal,492.0,Vietnam,1.0,4.1,OEKO-TEX,6.26,2747.3,0.2,0.55,5.5,Minimal/No Packaging,synthetic_v1,2026-01-29,,0.3399,0.3188,0.3315,"Scored low, dragged down by very little recycled material (1%)."
P0029,Renu Apparel Sandals,Shoes,Sandals,Renu Apparel,6802.79,4.8,6,"Sandals made from tencel lyocell, designed for everyday wear. Manufactured in Turkey.",Tencel Lyocell,Black,827.4,Turkey,7.3,2.7,No Certification,5.91,2666.6,0.43,0.78,4.6,Recycled Cardboard,synthetic_v1,2026-07-20,,0.3152,0.3211,0.3176,"Scored low due to strong repairability (0.78/1.0), though no eco-certification."
P0030,TerraFit Maxi Dress,Dresses,Maxi Dress,TerraFit,7633.03,3.6,1,"Maxi Dress made from conventional cotton, designed for everyday wear. Manufactured in India.",Conventional Cotton,Sage Green,135.1,Turkey,2.7,2.6,GOTS,4.96,2864.1,0.27,0.83,2.4,Compostable Mailer,synthetic_v1,2026-05-09,,0.4315,0.433,0.4321,"Scored low due to GOTS certification and strong repairability (0.83/1.0), though very little organic material (3%)."
P0031,EcoWeave Casual Dress,Dresses,Casual Dress,EcoWeave,2133.73,4.2,5,"Casual Dress made from organic cotton, designed for everyday wear. Manufactured in Vietnam.",Organic Cotton,Olive,592.6,China,14.2,68.0,No Certification,1.54,437.1,0.16,0.7,3.8,Recycled Cardboard,synthetic_v1,2025-07-29,,0.5051,0.4485,0.4825,"Scored moderately due to low water usage (437 L est.) and a low carbon footprint (1.5 kg CO2e est.), though no eco-certification."
P0032,Reforma Tote Bag,Bags,Tote Bag,Reforma,4939.73,4.6,0,"Tote Bag made from recycled polyester, designed for everyday wear. Manufactured in Bangladesh.",Recycled Polyester,White,663.8,Vietnam,71.8,9.3,No Certification,2.65,1117.2,0.67,0.86,2.0,Recycled Cardboard,synthetic_v1,2025-11-15,,0.546,0.6103,0.5717,"Scored moderately due to strong repairability (0.86/1.0) and low water usage (1117 L est.), though no eco-certification."
P0033,CircleWear Tote Bag,Bags,Tote Bag,CircleWear,7704.91,4.1,7,"Tote Bag made from polyester, designed for everyday wear. Manufactured in Portugal.",Polyester,Olive,459.7,China,6.4,3.7,No Certification,6.04,2523.7,0.52,0.79,1.5,Compostable Mailer,synthetic_v1,2025-10-20,,0.3072,0.3365,0.3189,"Scored low due to strong repairability (0.79/1.0), though no eco-certification."
P0034,Bambu & Co Sling Bag,Bags,Sling Bag,Bambu & Co,2327.98,3.7,2,"Sling Bag made from conventional cotton, designed for everyday wear. Manufactured in Turkey.",Conventional Cotton,Charcoal,382.4,Portugal,6.5,7.3,No Certification,4.61,4055.1,0.52,0.35,5.4,Compostable Mailer,synthetic_v1,2026-05-30,,0.2739,0.2576,0.2674,"Scored low, dragged down by no eco-certification."
P0035,CircleWear Denim Jacket,Jackets,Denim Jacket,CircleWear,5899.56,3.7,6,"Denim Jacket made from recycled nylon, designed for everyday wear. Manufactured in Bangladesh.",Recycled Nylon,Sage Green,623.8,Portugal,58.7,8.8,Global Recycled Standard,2.9,548.6,0.5,0.87,1.4,Recycled Cardboard,synthetic_v1,2026-07-15,,0.6306,0.7081,0.6616,"Scored moderately due to low water usage (549 L est.) and strong repairability (0.87/1.0), though very little organic material (9%)."
P0036,Rootwear Slim Fit,Jeans,Slim Fit,Rootwear,5770.41,3.2,8,"Slim Fit made from tencel lyocell, designed for everyday wear. Manufactured in Vietnam.",Tencel Lyocell,Navy,214.1,Bangladesh,4.6,5.8,OEKO-TEX,5.84,3092.8,0.31,0.75,2.7,Recycled Cardboard,synthetic_v1,2025-08-16,,0.3585,0.3656,0.3613,"Scored low due to strong repairability (0.75/1.0), though very little recycled material (5%)."
P0037,TerraFit Sandals,Shoes,Sandals,TerraFit,1954.88,3.1,5,"Sandals made from tencel lyocell, designed for everyday wear. Manufactured in Bangladesh.",Tencel Lyocell,Beige,131.0,Turkey,3.2,4.8,Fair Trade,7.35,4429.8,0.36,0.47,1.5,Compostable Mailer,synthetic_v1,2026-08-08,,0.2621,0.3421,0.2941,"Scored low, dragged down by very little recycled material (3%)."
P0038,Reforma Oversized Tee,T-Shirts,Oversized Tee,Reforma,7740.23,3.1,10,"Oversized Tee made from hemp blend, designed for everyday wear. Manufactured in Portugal.",Hemp Blend,White,761.3,Portugal,9.6,7.5,Global Recycled Standard,3.62,1536.8,0.24,0.59,2.7,Recycled Cardboard,synthetic_v1,2025-11-09,,0.4658,0.4468,0.4582,"Scored low due to Global Recycled Standard certification, though very little organic material (8%)."
P0039,EcoWeave Wrap Dress,Dresses,Wrap Dress,EcoWeave,6429.56,3.1,6,"Wrap Dress made from hemp blend, designed for everyday wear. Manufactured in Turkey.",Hemp Blend,Charcoal,471.4,Portugal,2.2,5.6,OEKO-TEX,4.82,4481.8,0.16,0.76,4.0,Minimal/No Packaging,synthetic_v1,2026-03-28,,0.3275,0.3877,0.3516,"Scored low due to strong repairability (0.76/1.0), though very little recycled material (2%)."
P0040,EcoWeave Sandals,Shoes,Sandals,EcoWeave,519.07,3.6,6,"Sandals made from recycled polyester, designed for everyday wear. Manufactured in Turkey.",Recycled Polyester,Sage Green,347.2,Bangladesh,92.1,2.1,OEKO-TEX,1.92,894.4,0.57,0.4,1.4,Compostable Mailer,synthetic_v1,2025-09-06,,0.6133,0.6316,0.6206,"Scored moderately due to 92% recycled material and low water usage (894 L est.), though very little organic material (2%)."
P0041,GreenThread Backpack,Bags,Backpack,GreenThread,5356.26,4.8,4,"Backpack made from tencel lyocell, designed for everyday wear. Manufactured in Bangladesh.",Tencel Lyocell,White,166.5,Vietnam,13.9,7.9,No Certification,6.75,3483.5,0.57,0.56,3.7,Compostable Mailer,synthetic_v1,2026-01-19,,0.2754,0.2537,0.2667,"Scored low, dragged down by no eco-certification."
P0042,Reforma Graphic Tee,T-Shirts,Graphic Tee,Reforma,2376.76,2.7,2,"Graphic Tee made from bamboo fabric, designed for everyday wear. Manufactured in China.",Bamboo Fabric,Black,899.7,China,14.1,5.0,No Certification,5.96,1741.3,0.12,0.56,2.6,Compostable Mailer,synthetic_v1,2025-11-09,,0.289,0.2502,0.2735,"Scored low, dragged down by no eco-certification."
P0043,Bambu & Co Basic Tee,T-Shirts,Basic Tee,Bambu & Co,3108.71,3.3,11,"Basic Tee made from polyester, designed for everyday wear. Manufactured in China.",Polyester,White,789.0,Vietnam,9.8,9.2,Global Recycled Standard,4.09,3256.0,0.42,0.6,1.5,Minimal/No Packaging,synthetic_v1,2026-04-06,,0.4183,0.4025,0.412,"Scored low due to Global Recycled Standard certification, though very little organic material (9%)."
P0044,Renu Apparel Maxi Dress,Dresses,Maxi Dress,Renu Apparel,5431.45,3.9,12,"Maxi Dress made from organic cotton, designed for everyday wear. Manufactured in Portugal.",Organic Cotton,Black,266.3,Vietnam,6.8,72.6,No Certification,2.15,1173.2,0.3,0.61,5.9,Minimal/No Packaging,synthetic_v1,2025-10-15,,0.4825,0.4223,0.4584,"Scored low due to a low carbon footprint (2.1 kg CO2e est.) and low water usage (1173 L est.), though no eco-certification."
P0045,PureLoom Denim Jacket,Jackets,Denim Jacket,PureLoom,2293.73,2.9,7,"Denim Jacket made from recycled nylon, designed for everyday wear. Manufactured in Turkey.",Recycled Nylon,Black,550.8,India,70.2,9.3,Fair Trade,2.38,928.4,0.55,0.88,4.0,Recycled Cardboard,synthetic_v1,2026-01-07,,0.6471,0.7195,0.6761,"Scored moderately due to strong repairability (0.88/1.0) and low water usage (928 L est.), though very little organic material (9%)."
P0046,TerraFit Oversized Tee,T-Shirts,Oversized Tee,TerraFit,1583.81,3.0,9,"Oversized Tee made from conventional cotton, designed for everyday wear. Manufactured in Turkey.",Conventional Cotton,Olive,793.9,Vietnam,14.0,2.9,No Certification,7.23,2746.5,0.34,0.58,3.3,Minimal/No Packaging,synthetic_v1,2026-03-10,,0.2595,0.2217,0.2444,"Scored low, dragged down by no eco-certification."
P0047,Reforma Sling Bag,Bags,Sling Bag,Reforma,3087.43,3.9,5,"Sling Bag made from organic cotton, designed for everyday wear. Manufactured in Turkey.",Organic Cotton,Charcoal,475.2,Vietnam,4.2,71.9,No Certification,2.67,1199.0,0.34,0.39,3.7,Plastic Poly Bag,synthetic_v1,2025-09-08,,0.435,0.348,0.4002,"Scored low due to low water usage (1199 L est.) and a low carbon footprint (2.7 kg CO2e est.), though no eco-certification."
P0048,Rootwear Linen Shirt,Shirts,Linen Shirt,Rootwear,6441.95,4.1,2,"Linen Shirt made from tencel lyocell, designed for everyday wear. Manufactured in Bangladesh.",Tencel Lyocell,Sage Green,872.6,Bangladesh,12.8,4.1,No Certification,4.91,2918.9,0.56,0.53,5.9,Compostable Mailer,synthetic_v1,2026-07-11,,0.3334,0.2775,0.311,"Scored low due to a long estimated lifespan (5.9 years), though no eco-certification."
P0049,GreenThread Backpack,Bags,Backpack,GreenThread,2486.67,4.1,3,"Backpack made from polyester, designed for everyday wear. Manufactured in Portugal.",Polyester,White,784.4,China,13.7,0.2,No Certification,3.86,4112.8,0.58,0.34,4.9,Minimal/No Packaging,synthetic_v1,2026-03-22,,0.2928,0.2688,0.2832,"Scored low, dragged down by no eco-certification."
P0050,Bambu & Co Wrap Dress,Dresses,Wrap Dress,Bambu & Co,1237.32,4.1,3,"Wrap Dress made from polyester, designed for everyday wear. Manufactured in India.",Polyester,Sage Green,249.8,Vietnam,0.5,0.7,GOTS,6.79,4262.8,0.6,0.75,3.2,Recycled Cardboard,synthetic_v1,2026-03-18,,0.3778,0.3955,0.3849,"Scored low due to GOTS certification and strong repairability (0.75/1.0), though very little recycled material (0%)."
P0051,Reforma Tote Bag,Bags,Tote Bag,Reforma,7030.3,4.0,2,"Tote Bag made from linen, designed for everyday wear. Manufactured in Bangladesh.",Linen,Sage Green,832.0,Bangladesh,5.6,1.5,Fair Trade,6.19,3197.8,0.5,0.4,1.4,Minimal/No Packaging,synthetic_v1,2025-10-09,,0.3289,0.3539,0.3389,"Scored low, dragged down by very little organic material (2%)."
P0052,Reforma Straight Fit,Jeans,Straight Fit,Reforma,2742.66,4.9,12,"Straight Fit made from organic cotton, designed for everyday wear. Manufactured in China.",Organic Cotton,Beige,476.3,Vietnam,13.5,78.6,Fair Trade,2.08,791.9,0.14,0.87,5.9,Minimal/No Packaging,synthetic_v1,2025-12-27,,0.6114,0.5233,0.5762,"Scored moderately due to strong repairability (0.87/1.0) and low water usage (792 L est.), though very little recycled material (14%)."
P0053,Rootwear Basic Tee,T-Shirts,Basic Tee,Rootwear,5642.5,4.4,6,"Basic Tee made from linen, designed for everyday wear. Manufactured in India.",Linen,Sage Green,769.6,Vietnam,8.6,9.9,No Certification,4.77,4433.8,0.43,0.46,3.8,Plastic Poly Bag,synthetic_v1,2025-10-25,,0.2571,0.2647,0.2601,"Scored low, dragged down by no eco-certification."
P0054,PureLoom Backpack,Bags,Backpack,PureLoom,5346.55,3.3,10,"Backpack made from tencel lyocell, designed for everyday wear. Manufactured in Portugal.",Tencel Lyocell,Black,572.1,China,9.3,6.8,Fair Trade,7.33,3477.5,0.52,0.68,5.5,Recycled Cardboard,synthetic_v1,2026-04-02,,0.3642,0.3723,0.3674,"Scored low, dragged down by very little organic material (7%)."
P0055,Rootwear Wide Leg,Jeans,Wide Leg,Rootwear,7354.37,4.9,12,"Wide Leg made from hemp blend, designed for everyday wear. Manufactured in Vietnam.",Hemp Blend,Terracotta,747.3,Portugal,3.0,7.9,GOTS,8.26,2597.6,0.35,0.46,1.8,Plastic Poly Bag,synthetic_v1,2025-08-10,,0.3465,0.3576,0.3509,"Scored low due to GOTS certification, though very little recycled material (3%)."
P0056,Rootwear Linen Shirt,Shirts,Linen Shirt,Rootwear,4883.2,4.6,6,"Linen Shirt made from polyester, designed for everyday wear. Manufactured in Vietnam.",Polyester,White,646.4,Portugal,5.5,7.9,GOTS,3.08,3109.7,0.33,0.7,4.4,Compostable Mailer,synthetic_v1,2025-10-23,,0.4768,0.4153,0.4522,"Scored low due to GOTS certification and strong repairability (0.70/1.0), though very little recycled material (6%)."
P0057,GreenThread Linen Shirt,Shirts,Linen Shirt,GreenThread,1227.94,4.7,7,"Linen Shirt made from conventional cotton, designed for everyday wear. Manufactured in Bangladesh.",Conventional Cotton,Charcoal,473.8,China,13.6,3.0,No Certification,5.45,1919.3,0.57,0.48,3.5,Minimal/No Packaging,synthetic_v1,2025-11-04,,0.3337,0.2927,0.3173,"Scored low, dragged down by no eco-certification."
P0058,TerraFit Wrap Dress,Dresses,Wrap Dress,TerraFit,3834.22,3.1,1,"Wrap Dress made from bamboo fabric, designed for everyday wear. Manufactured in Vietnam.",Bamboo Fabric,White,885.1,Vietnam,9.8,8.3,No Certification,6.69,4317.2,0.24,0.71,2.1,Compostable Mailer,synthetic_v1,2026-07-31,,0.2178,0.2533,0.232,"Scored very low due to strong repairability (0.71/1.0), though no eco-certification."
P0059,PureLoom Windbreaker,Jackets,Windbreaker,PureLoom,3000.32,5.0,5,"Windbreaker made from recycled polyester, designed for everyday wear. Manufactured in Turkey.",Recycled Polyester,Navy,173.5,Turkey,92.2,8.2,Fair Trade,1.68,490.9,0.79,0.88,1.3,Plastic Poly Bag,synthetic_v1,2026-05-04,,0.7133,0.7311,0.7204,"Scored moderately due to 92% recycled material and low water usage (491 L est.), though very little organic material (8%)."
P0060,Solstice Studio Slim Fit,Jeans,Slim Fit,Solstice Studio,1487.52,3.4,9,"Slim Fit made from organic cotton, designed for everyday wear. Manufactured in Bangladesh.",Organic Cotton,Terracotta,132.3,Vietnam,4.2,99.4,GOTS,3.48,786.2,0.5,0.37,5.3,Plastic Poly Bag,synthetic_v1,2025-08-17,,0.6176,0.4966,0.5692,"Scored moderately due to 99% organic material and GOTS certification, though very little recycled material (4%)."
P0061,GreenThread Puffer Jacket,Jackets,Puffer Jacket,GreenThread,6373.2,4.7,12,"Puffer Jacket made from recycled polyester, designed for everyday wear. Manufactured in Turkey.",Recycled Polyester,Beige,477.3,India,66.2,7.8,GOTS,2.53,398.1,0.73,0.87,1.2,Minimal/No Packaging,synthetic_v1,2026-02-07,,0.6971,0.7234,0.7076,"Scored moderately due to low water usage (398 L est.) and GOTS certification, though very little organic material (8%)."
P0062,GreenThread Puffer Jacket,Jackets,Puffer Jacket,GreenThread,4889.24,4.3,9,"Puffer Jacket made from conventional cotton, designed for everyday wear. Manufactured in Portugal.",Conventional Cotton,Beige,473.9,Turkey,10.7,4.4,Global Recycled Standard,8.4,2466.3,0.17,0.38,4.1,Recycled Cardboard,synthetic_v1,2025-09-06,,0.3216,0.3223,0.3219,"Scored low due to Global Recycled Standard certification, though very little organic material (4%)."
P0063,Renu Apparel Oversized Tee,T-Shirts,Oversized Tee,Renu Apparel,2842.93,3.1,2,"Oversized Tee made from tencel lyocell, designed for everyday wear. Manufactured in Bangladesh.",Tencel Lyocell,Sage Green,172.4,India,6.5,8.9,GOTS,5.48,3982.3,0.3,0.74,2.6,Minimal/No Packaging,synthetic_v1,2026-07-13,,0.3948,0.3988,0.3964,"Scored low due to GOTS certification and strong repairability (0.74/1.0), though very little recycled material (6%)."
P0064,CircleWear Wrap Dress,Dresses,Wrap Dress,CircleWear,6126.13,4.7,11,"Wrap Dress made from hemp blend, designed for everyday wear. Manufactured in China.",Hemp Blend,Black,875.4,Turkey,8.3,5.9,OEKO-TEX,6.37,2488.9,0.16,0.51,4.3,Compostable Mailer,synthetic_v1,2026-07-09,,0.3427,0.3176,0.3327,"Scored low, dragged down by very little organic material (6%)."
P0065,PureLoom Sandals,Shoes,Sandals,PureLoom,6553.16,4.6,5,"Sandals made from hemp blend, designed for everyday wear. Manufactured in Turkey.",Hemp Blend,Black,595.0,China,9.9,2.2,No Certification,3.65,4036.1,0.28,0.76,3.9,Compostable Mailer,synthetic_v1,2026-08-17,,0.3013,0.285,0.2948,"Scored low due to strong repairability (0.76/1.0), though no eco-certification."
P0066,Reforma Casual Shirt,Shirts,Casual Shirt,Reforma,1187.18,3.8,11,"Casual Shirt made from linen, designed for everyday wear. Manufactured in Portugal.",Linen,Charcoal,473.8,Bangladesh,5.3,1.8,OEKO-TEX,3.86,3472.0,0.13,0.74,5.9,Compostable Mailer,synthetic_v1,2025-08-27,,0.3848,0.3994,0.3906,"Scored low due to strong repairability (0.74/1.0) and a long estimated lifespan (5.9 years), though very little organic material (2%)."
P0067,Solstice Studio Wide Leg,Jeans,Wide Leg,Solstice Studio,5052.07,3.5,1,"Wide Leg made from recycled polyester, designed for everyday wear. Manufactured in Bangladesh.",Recycled Polyester,White,389.2,India,88.6,1.6,OEKO-TEX,3.01,344.8,0.54,0.57,3.1,Minimal/No Packaging,synthetic_v1,2025-12-05,,0.6268,0.6484,0.6354,"Scored moderately due to low water usage (345 L est.) and 89% recycled material, though very little organic material (2%)."
