review_id,product_id,user_id,rating,review_text,review_date,source
R00047,P0010,U0076,3,"Average quality, expected a bit more for the price.",2025-09-20,synthetic_v1
R00048,P0010,U0098,1,Started wearing out after a few weeks.,2025-11-20,synthetic_v1
R00049,P0010,U0073,2,"Sizing ran small, had to return it.",2026-02-04,synthetic_v1
R00050,P0010,U0109,4,Great fit and the fabric feels durable.,2025-10-10,synthetic_v1
R00051,P0011,U0048,2,Started wearing out after a few weeks.,2025-11-28,synthetic_v1
R00052,P0011,U0069,2,Started wearing out after a few weeks.,2026-01-27,synthetic_v1
R00053,P0011,U0006,5,True to size and holds up well after multiple washes.,2026-08-31,synthetic_v1
R00054,P0011,U0038,4,Nice sustainable option that doesn't compromise on comfort.,2025-10-01,synthetic_v1
R00055,P0011,U0008,2,Fabric felt thinner than expected.,2025-12-28,synthetic_v1
R00056,P0011,U0033,3,"Average quality, expected a bit more for the price.",2025-09-17,synthetic_v1
R00057,P0011,U0108,4,"Loved the material, very comfortable for daily wear.",2025-10-12,synthetic_v1
R00058,P0011,U0006,2,"Sizing ran small, had to return it.",2026-06-10,synthetic_v1
R00059,P0012,U0009,5,Nice sustainable option that doesn't compromise on comfort.,2026-03-31,synthetic_v1
R00060,P0012,U0090,1,"Not worth the price, quality was disappointing.",2026-06-30,synthetic_v1
R00061,P0012,U0113,2,"Sizing ran small, had to return it.",2026-01-22,synthetic_v1
R00062,P0012,U0114,2,"Sizing ran small, had to return it.",2025-09-16,synthetic_v1
R00063,P0012,U0034,3,"Average quality, expected a bit more for the price.",2025-09-03,synthetic_v1
R00064,P0012,U0032,4,"Loved the material, very comfortable for daily wear.",2025-09-26,synthetic_v1
R00065,P0012,U0027,3,"Decent product, delivery took a while.",2026-01-08,synthetic_v1
R00066,P0012,U0003,5,"Loved the material, very comfortable for daily wear.",2025-09-11,synthetic_v1
R00067,P0012,U0078,2,Fabric felt thinner than expected.,2025-12-31,synthetic_v1
R00068,P0012,U0087,1,Fabric felt thinner than expected.,2026-06-04,synthetic_v1
R00069,P0012,U0115,4,Nice sustainable option that doesn't compromise on comfort.,2025-09-09,synthetic_v1
R00070,P0013,U0069,4,True to size and holds up well after multiple washes.,2026-07-21,synthetic_v1
R00071,P0013,U0115,1,Fabric felt thinner than expected.,2025-09-22,synthetic_v1
R00072,P0013,U0046,4,Great fit and the fabric feels durable.,2026-02-20,synthetic_v1
R00073,P0013,U0050,5,"Loved the material, very comfortable for daily wear.",2026-06-02,synthetic_v1
R00074,P0013,U0060,1,Fabric felt thinner than expected.,2026-02-23,synthetic_v1
R00075,P0013,U0002,2,"Not worth the price, quality was disappointing.",2026-05-10,synthetic_v1
R00076,P0013,U0088,1,"Sizing ran small, had to return it.",2025-09-02,synthetic_v1
R00077,P0013,U0012,3,"It's okay, nothing special but does the job.",2025-10-21,synthetic_v1
R00078,P0013,U0029,3,"Average quality, expected a bit more for the price.",2026-05-04,synthetic_v1
R00079,P0013,U0005,4,"Loved the material, very comfortable for daily wear.",2026-04-10,synthetic_v1
R00080,P0013,U0027,4,Nice sustainable option that doesn't compromise on comfort.,2026-08-28,synthetic_v1
R00081,P0014,U0112,4,Great fit and the fabric feels durable.,2026-04-11,synthetic_v1
R00082,P0014,U0064,5,Nice sustainable option that doesn't compromise on comfort.,2026-06-05,synthetic_v1
R00083,P0014,U0085,5,"Good quality for the price, would buy again.",2025-11-15,synthetic_v1
R00084,P0015,U0023,5,Nice sustainable option that doesn't compromise on comfort.,2026-07-29,synthetic_v1
R00085,P0015,U0096,5,"Good quality for the price, would buy again.",2026-07-29,synthetic_v1
R00086,P0015,U0120,2,"Sizing ran small, had to return it.",2025-11-13,synthetic_v1
R00087,P0015,U0025,2,"Sizing ran small, had to return it.",2025-09-18,synthetic_v1
R00088,P0015,U0088,1,"Sizing ran small, had to return it.",2025-11-18,synthetic_v1
R00089,P0015,U0055,4,Great fit and the fabric feels durable.,2025-10-07,synthetic_v1
R00090,P0015,U0056,1,"Sizing ran small, had to return it.",2026-02-04,synthetic_v1
R00091,P0015,U0088,3,"It's okay, nothing special but does the job.",2025-12-09,synthetic_v1
R00092,P0015,U0047,4,True to size and holds up well after multiple washes.,2025-12-10,synthetic_v1
R00093,P0015,U0007,1,Started wearing out after a few weeks.,2026-04-11,synthetic_v1
R00094,P0016,U0041,5,True to size and holds up well after multiple washes.,2026-08-29,synthetic_v1
R00095,P0016,U0043,4,"Good quality for the price, would buy again.",2026-07-21,synthetic_v1
R00096,P0016,U0095,5,Great fit and the fabric feels durable.,2026-05-08,synthetic_v1
R00097,P0016,U0118,4,Great fit and the fabric feels durable.,2026-04-26,synthetic_v1
R00098,P0016,U0043,2,Started wearing out after a few weeks.,2026-03-25,synthetic_v1
R00099,P0016,U0004,1,Fabric felt thinner than expected.,2025-12-29,synthetic_v1
R00100,P0017,U0108,1,"Sizing ran small, had to return it.",2026-04-25,synthetic_v1
R00101,P0017,U0061,2,Fabric felt thinner than expected.,2026-05-01,synthetic_v1
R00102,P0017,U0106,3,"It's okay, nothing special but does the job.",2026-03-14,synthetic_v1
R00103,P0017,U0010,5,"Good quality for the price, would buy again.",2025-10-28,synthetic_v1
R00104,P0017,U0098,5,True to size and holds up well after multiple washes.,2026-07-14,synthetic_v1
R00105,P0017,U0016,4,Nice sustainable option that doesn't compromise on comfort.,2026-07-19,synthetic_v1
R00106,P0020,U0009,3,"Average quality, expected a bit more for the price.",2026-06-27,synthetic_v1
R00107,P0020,U0008,1,"Not worth the price, quality was disappointing.",2026-03-30,synthetic_v1
R00108,P0020,U0009,5,True to size and holds up well after multiple washes.,2026-07-10,synthetic_v1
R00109,P0020,U0038,1,Fabric felt thinner than expected.,2026-02-17,synthetic_v1
R00110,P0020,U0080,4,Great fit and the fabric feels durable.,2026-02-02,synthetic_v1
R00111,P0020,U0059,2,Fabric felt thinner than expected.,2026-02-16,synthetic_v1
R00112,P0021,U0080,4,Nice sustainable option that doesn't compromise on comfort.,2026-07-11,synthetic_v1
R00113,P0021,U0087,3,"Average quality, expected a bit more for the price.",2026-08-18,synthetic_v1
R00114,P0021,U0043,4,Nice sustainable option that doesn't compromise on comfort.,2025-11-04,synthetic_v1
R00115,P0021,U0014,2,Fabric felt thinner than expected.,2026-08-25,synthetic_v1
R00116,P0021,U0076,5,Great fit and the fabric feels durable.,2026-05-24,synthetic_v1
R00117,P0021,U0082,5,"Good quality for the price, would buy again.",2025-12-14,synthetic_v1
R00118,P0021,U0054,3,"Decent product, delivery took a while.",2025-12-28,synthetic_v1
R00119,P0022,U0024,5,True to size and holds up well after multiple washes.,2026-04-29,synthetic_v1
R00120,P0022,U0008,2,Fabric felt thinner than expected.,2026-06-27,synthetic_v1
R00121,P0022,U0056,3,"Average quality, expected a bit more for the price.",2025-12-12,synthetic_v1
R00122,P0022,U0075,3,"Decent product, delivery took a while.",2025-11-27,synthetic_v1
R00123,P0022,U0061,2,Started wearing out after a few weeks.,2026-03-26,synthetic_v1
R00124,P0022,U0038,5,"Loved the material, very comfortable for daily wear.",2026-02-24,synthetic_v1
R00125,P0022,U0008,1,Started wearing out after a few weeks.,2026-05-02,synthetic_v1
R00126,P0022,U0110,5,Nice sustainable option that doesn't compromise on comfort.,2026-08-04,synthetic_v1
R00127,P0022,U0026,4,"Loved the material, very comfortable for daily wear.",2026-05-21,synthetic_v1
R00128,P0022,U0044,2,Fabric felt thinner than expected.,2026-05-27,synthetic_v1
R00129,P0022,U0077,4,True to size and holds up well after multiple washes.,2025-09-11,synthetic_v1
R00130,P0023,U0043,5,Nice sustainable option that doesn't compromise on comfort.,2025-10-20,synthetic_v1
R00131,P0023,U0043,3,"Decent product, delivery took a while.",2026-06-09,synthetic_v1
R00132,P0023,U0113,1,"Not worth the price, quality was disappointing.",2026-08-10,synthetic_v1
R00133,P0023,U0118,4,"Good quality for the price, would buy again.",2026-08-30,synthetic_v1
R00134,P0023,U0060,2,Started wearing out after a few weeks.,2025-10-16,synthetic_v1
R00135,P0003,U0095,2,"Not worth the price, quality was disappointing.",2026-03-15,synthetic_v1
R00136,P0003,U0052,4,"Good quality for the price, would buy again.",2026-05-29,synthetic_v1
R00137,P0003,U0002,1,"Sizing ran small, had to return it.",2026-07-25,synthetic_v1
R00138,P0025,U0019,1,Fabric felt thinner than expected.,2026-04-05,synthetic_v1
R00139,P0025,U0081,4,"Good quality for the price, would buy again.",2025-11-05,synthetic_v1
R00140,P0025,U0004,3,"It's okay, nothing special but does the job.",2026-05-22,synthetic_v1
R00141,P0025,U0023,2,"Sizing ran small, had to return it.",2026-05-11,synthetic_v1
R00142,P0025,U0023,3,"Average quality, expected a bit more for the price.",2026-03-11,synthetic_v1
R00143,P0026,U0026,2,Started wearing out after a few weeks.,2026-08-20,synthetic_v1
R00144,P0026,U0117,2,"Sizing ran small, had to return it.",2026-07-11,synthetic_v1
R00145,P0026,U0049,1,Started wearing out after a few weeks.,2025-09-30,synthetic_v1
R00146,P0026,U0120,1,"Sizing ran small, had to return it.",2026-05-16,synthetic_v1
R00147,P0026,U0031,3,"Decent product, delivery took a while.",2026-02-23,synthetic_v1
R00148,P0026,U0022,3,"Average quality, expected a bit more for the price.",2025-12-05,synthetic_v1
R00149,P0026,U0113,5,True to size and holds up well after multiple washes.,2025-09-01,synthetic_v1
R00150,P0026,U0019,1,Fabric felt thinner than expected.,2026-06-26,synthetic_v1
R00151,P0027,U0069,2,Started wearing out after a few weeks.,2026-02-19,synthetic_v1
R00152,P0027,U0077,3,"Decent product, delivery took a while.",2026-01-24,synthetic_v1
R00153,P0027,U0098,2,Fabric felt thinner than expected.,2025-10-20,synthetic_v1
R00154,P0027,U0110,5,"Good quality for the price, would buy again.",2025-11-30,synthetic_v1
R00155,P0027,U0042,3,"It's okay, nothing special but does the job.",2026-04-27,synthetic_v1
R00156,P0027,U0112,1,"Sizing ran small, had to return it.",2026-06-28,synthetic_v1
R00157,P0027,U0114,5,Nice sustainable option that doesn't compromise on comfort.,2025-12-24,synthetic_v1
R00158,P0027,U0101,2,Fabric felt thinner than expected.,2026-01-03,synthetic_v1
R00159,P0027,U0022,5,Great fit and the fabric feels durable.,2025-12-14,synthetic_v1
R00160,P0027,U0048,4,Nice sustainable option that doesn't compromise on comfort.,2025-12-19,synthetic_v1
R00161,P0027,U0023,5,True to size and holds up well after multiple washes.,2026-03-20,synthetic_v1
R00162,P0027,U0089,3,"Average quality, expected a bit more for the price.",2025-12-27,synthetic_v1
R00163,P0028,U0035,4,True to size and holds up well after multiple washes.,2025-11-07,synthetic_v1
R00164,P0028,U0084,4,Nice sustainable option that doesn't compromise on comfort.,2026-08-13,synthetic_v1
R00165,P0028,U0115,2,Started wearing out after a few weeks.,2026-05-20,synthetic_v1
R00166,P0028,U0051,4,"Good quality for the price, would buy again.",2026-05-12,synthetic_v1
R00167,P0028,U0114,3,"Decent product, delivery took a while.",2026-02-19,synthetic_v1
R00168,P0028,U0120,5,"Good quality for the price, would buy again.",2026-02-21,synthetic_v1
R00169,P0028,U0011,3,"Average quality, expected a bit more for the price.",2026-06-24,synthetic_v1
R00170,P0028,U0057,1,"Sizing ran small, had to return it.",2025-12-09,synthetic_v1
R00171,P0028,U0075,3,"It's okay, nothing special but does the job.",2026-08-10,synthetic_v1
R00172,P0028,U0080,4,Nice sustainable option that doesn't compromise on comfort.,2026-03-12,synthetic_v1
R00173,P0028,U0060,4,True to size and holds up well after multiple washes.,2026-01-22,synthetic_v1
R00174,P0029,U0041,3,"Decent product, delivery took a while.",2026-04-14,synthetic_v1
R00175,P0029,U0023,4,Great fit and the fabric feels durable.,2026-01-17,synthetic_v1
R00176,P0029,U0083,2,"Sizing ran small, had to return it.",2026-07-24,synthetic_v1
R00177,P0029,U0038,3,"It's okay, nothing special but does the job.",2025-12-18,synthetic_v1
R00178,P0029,U0083,5,Nice sustainable option that doesn't compromise on comfort.,2026-07-22,synthetic_v1
R00179,P0029,U0013,3,"It's okay, nothing special but does the job.",2026-07-02,synthetic_v1
R00180,P0030,U0070,3,"It's okay, nothing special but does the job.",2026-05-21,synthetic_v1
R00181,P0031,U0033,2,"Sizing ran small, had to return it.",2026-03-30,synthetic_v1
R00182,P0031,U0091,3,"It's okay, nothing special but does the job.",2025-10-26,synthetic_v1
R00183,P0031,U0002,2,"Sizing ran small, had to return it.",2026-03-31,synthetic_v1
R00184,P0031,U0101,3,"Decent product, delivery took a while.",2026-02-06,synthetic_v1
R00185,P0031,U0097,4,Nice sustainable option that doesn't compromise on comfort.,2025-09-30,synthetic_v1
R00186,P0033,U0111,5,"Good quality for the price, would buy again.",2026-02-09,synthetic_v1
R00187,P0033,U0093,2,Started wearing out after a few weeks.,2026-05-16,synthetic_v1
R00188,P0033,U0067,4,"Good quality for the price, would buy again.",2025-11-04,synthetic_v1
R00189,P0033,U0093,5,True to size and holds up well after multiple washes.,2026-01-07,synthetic_v1
R00190,P0033,U0041,3,"It's okay, nothing special but does the job.",2026-05-27,synthetic_v1
R00191,P0033,U0027,4,True to size and holds up well after multiple washes.,2026-01-19,synthetic_v1
R00192,P0033,U0004,4,Nice sustainable option that doesn't compromise on comfort.,2026-02-21,synthetic_v1
R00193,P0034,U0040,5,"Good quality for the price, would buy again.",2026-08-27,synthetic_v1
R00194,P0034,U0044,4,"Loved the material, very comfortable for daily wear.",2026-05-08,synthetic_v1
R00195,P0035,U0098,4,True to size and holds up well after multiple washes.,2025-09-12,synthetic_v1
R00196,P0035,U0042,5,"Loved the material, very comfortable for daily wear.",2025-11-04,synthetic_v1
R00197,P0035,U0119,1,Fabric felt thinner than expected.,2026-06-21,synthetic_v1
R00198,P0035,U0073,2,"Sizing ran small, had to return it.",2025-10-13,synthetic_v1
R00199,P0035,U0074,5,Nice sustainable option that doesn't compromise on comfort.,2026-02-12,synthetic_v1
R00200,P0035,U0051,4,"Good quality for the price, would buy again.",2026-07-30,synthetic_v1
R00201,P0036,U0061,4,"Good quality for the price, would buy again.",2026-07-07,synthetic_v1
R00202,P0036,U0058,3,"Average quality, expected a bit more for the price.",2025-10-08,synthetic_v1
R00203,P0036,U0022,3,"It's okay, nothing special but does the job.",2026-07-09,synthetic_v1
R00204,P0036,U0005,5,"Good quality for the price, would buy again.",2025-09-13,synthetic_v1
R00205,P0036,U0004,5,True to size and holds up well after multiple washes.,2026-05-28,synthetic_v1
R00206,P0036,U0117,2,Fabric felt thinner than expected.,2026-02-15,synthetic_v1
R00207,P0036,U0030,3,"It's okay, nothing special but does the job.",2026-04-04,synthetic_v1
R00208,P0036,U0059,5,Great fit and the fabric feels durable.,2026-08-02,synthetic_v1
R00209,P0037,U0022,5,Great fit and the fabric feels durable.,2026-03-17,synthetic_v1
R00210,P0037,U0021,4,True to size and holds up well after multiple washes.,2026-07-06,synthetic_v1
R00211,P0037,U0062,2,"Not worth the price, quality was disappointing.",2026-07-27,synthetic_v1
R00212,P0037,U0017,4,"Good quality for the price, would buy again.",2026-05-18,synthetic_v1
R00213,P0037,U0105,3,"Decent product, delivery took a while.",2025-09-02,synthetic_v1
R00214,P0038,U0078,4,"Good quality for the price, would buy again.",2025-11-10,synthetic_v1
R00215,P0038,U0026,3,"Average quality, expected a bit more for the price.",2025-12-17,synthetic_v1
R00216,P0038,U0026,4,"Loved the material, very comfortable for daily wear.",2026-08-28,synthetic_v1
R00217,P0038,U0009,2,"Not worth the price, quality was disappointing.",2026-02-08,synthetic_v1
R00218,P0038,U0068,5,"Good quality for the price, would buy again.",2026-03-16,synthetic_v1
R00219,P0038,U0059,5,True to size and holds up well after multiple washes.,2026-01-07,synthetic_v1
R00220,P0038,U0095,5,Great fit and the fabric feels durable.,2026-07-16,synthetic_v1
R00221,P0038,U0113,3,"Average quality, expected a bit more for the price.",2026-01-10,synthetic_v1
R00222,P0038,U0108,3,"Average quality, expected a bit more for the price.",2025-09-01,synthetic_v1
R00223,P0038,U0079,3,"Decent product, delivery took a while.",2026-06-03,synthetic_v1
R00224,P0039,U0116,2,Started wearing out after a few weeks.,2025-10-19,synthetic_v1
R00225,P0039,U0050,4,True to size and holds up well after multiple washes.,2025-09-28,synthetic_v1
R00226,P0039,U0051,2,Fabric felt thinner than expected.,2025-09-08,synthetic_v1
R00227,P0039,U0114,1,Started wearing out after a few weeks.,2026-06-12,synthetic_v1
R00228,P0039,U0069,3,"Average quality, expected a bit more for the price.",2026-04-04,synthetic_v1
R00229,P0039,U0117,1,Started wearing out after a few weeks.,2025-12-22,synthetic_v1
R00230,P0040,U0048,5,Great fit and the fabric feels durable.,2026-07-23,synthetic_v1
R00231,P0040,U0053,1,"Sizing ran small, had to return it.",2026-01-13,synthetic_v1
R00232,P0040,U0027,2,"Sizing ran small, had to return it.",2025-12-15,synthetic_v1
R00233,P0040,U0004,1,"Not worth the price, quality was disappointing.",2026-07-25,synthetic_v1
R00234,P0040,U0044,4,True to size and holds up well after multiple washes.,2026-02-08,synthetic_v1
R00235,P0040,U0005,2,"Not worth the price, quality was disappointing.",2026-08-26,synthetic_v1
R00236,P0041,U0042,1,Started wearing out after a few weeks.,2025-09-22,synthetic_v1
R00237,P0041,U0060,4,True to size and holds up well after multiple washes.,2026-07-28,synthetic_v1
R00238,P0041,U0092,1,Started wearing out after a few weeks.,2026-01-19,synthetic_v1
R00239,P0041,U0106,2,"Not worth the price, quality was disappointing.",2026-04-11,synthetic_v1
R00240,P0042,U0078,2,Fabric felt thinner than expected.,2026-07-11,synthetic_v1
R00241,P0042,U0016,2,"Sizing ran small, had to return it.",2025-12-01,synthetic_v1
R00242,P0043,U0010,4,"Good quality for the price, would buy again.",2025-09-22,synthetic_v1
R00243,P0043,U0020,1,"Sizing ran small, had to return it.",2026-01-18,synthetic_v1
R00244,P0043,U0028,3,"It's okay, nothing special but does the job.",2025-08-31,synthetic_v1
R00245,P0043,U0057,1,Started wearing out after a few weeks.,2025-09-09,synthetic_v1
R00246,P0043,U0050,1,Fabric felt thinner than expected.,2025-09-12,synthetic_v1
R00247,P0043,U0007,3,"Decent product, delivery took a while.",2025-10-29,synthetic_v1
R00248,P0043,U0099,1,Fabric felt thinner than expected.,2026-02-19,synthetic_v1
R00249,P0043,U0048,2,Started wearing out after a few weeks.,2026-05-01,synthetic_v1
R00250,P0043,U0003,2,Fabric felt thinner than expected.,2026-01-28,synthetic_v1
R00251,P0043,U0044,1,Fabric felt thinner than expected.,2026-05-25,synthetic_v1
R00252,P0043,U0113,1,Started wearing out after a few weeks.,2026-07-13,synthetic_v1
R00253,P0044,U0006,2,Started wearing out after a few weeks.,2026-01-31,synthetic_v1
R00254,P0044,U0105,5,Great fit and the fabric feels durable.,2026-03-17,synthetic_v1
R00255,P0044,U0081,3,"Average quality, expected a bit more for the price.",2026-05-26,synthetic_v1
R00256,P0044,U0120,5,"Good quality for the price, would buy again.",2025-11-27,synthetic_v1
R00257,P0044,U0016,4,True to size and holds up well after multiple washes.,2026-05-05,synthetic_v1
R00258,P0044,U0046,2,Fabric felt thinner than expected.,2026-03-19,synthetic_v1
R00259,P0044,U0052,2,Fabric felt thinner than expected.,2025-10-01,synthetic_v1
R00260,P0044,U0050,3,"It's okay, nothing special but does the job.",2026-05-15,synthetic_v1
R00261,P0044,U0009,4,"Good quality for the price, would buy again.",2025-09-29,synthetic_v1
R00262,P0044,U0080,3,"Average quality, expected a bit more for the price.",2026-02-24,synthetic_v1
R00263,P0044,U0114,1,Fabric felt thinner than expected.,2026-05-12,synthetic_v1
R00264,P0044,U0099,4,"Loved the material, very comfortable for daily wear.",2025-10-29,synthetic_v1
R00265,P0045,U0033,1,Started wearing out after a few weeks.,2026-07-14,synthetic_v1
R00266,P0045,U0081,5,"Loved the material, very comfortable for daily wear.",2025-09-09,synthetic_v1
R00267,P0045,U0043,4,"Good quality for the price, would buy again.",2026-06-03,synthetic_v1
R00268,P0045,U0062,3,"Average quality, expected a bit more for the price.",2026-07-28,synthetic_v1
R00269,P0045,U0078,3,"It's okay, nothing special but does the job.",2025-11-05,synthetic_v1
R00270,P0045,U0066,4,True to size and holds up well after multiple washes.,2025-10-08,synthetic_v1
R00271,P0045,U0030,2,Fabric felt thinner than expected.,2026-08-21,synthetic_v1
R00272,P0046,U0031,1,"Sizing ran small, had to return it.",2026-01-24,synthetic_v1
R00273,P0046,U0008,2,Fabric felt thinner than expected.,2026-06-22,synthetic_v1
R00274,P0046,U0038,3,"Decent product, delivery took a while.",2026-05-20,synthetic_v1
R00275,P0046,U0027,2,"Not worth the price, quality was disappointing.",2025-10-07,synthetic_v1
R00276,P0046,U0119,1,Started wearing out after a few weeks.,2025-10-29,synthetic_v1
R00277,P0046,U0018,4,"Loved the material, very comfortable for daily wear.",2026-04-11,synthetic_v1
R00278,P0046,U0101,3,"Average quality, expected a bit more for the price.",2026-08-11,synthetic_v1
R00279,P0046,U0083,5,True to size and holds up well after multiple washes.,2026-04-06,synthetic_v1
R00280,P0046,U0109,1,Started wearing out after a few weeks.,2026-03-15,synthetic_v1
R00281,P0047,U0070,2,Started wearing out after a few weeks.,2026-08-04,synthetic_v1
R00282,P0047,U0078,2,Started wearing out after a few weeks.,2026-02-17,synthetic_v1
R00283,P0047,U0024,5,"Loved the material, very comfortable for daily wear.",2026-01-17,synthetic_v1
R00284,P0047,U0112,1,Fabric felt thinner than expected.,2025-12-23,synthetic_v1
R00285,P0047,U0007,1,Started wearing out after a few weeks.,2025-10-11,synthetic_v1
R00286,P0048,U0012,2,Started wearing out after a few weeks.,2026-06-04,synthetic_v1
R00287,P0048,U0107,5,Nice sustainable option that doesn't compromise on comfort.,2026-05-19,synthetic_v1
R00288,P0049,U0055,5,Great fit and the fabric feels durable.,2026-01-04,synthetic_v1
R00289,P0049,U0093,3,"It's okay, nothing special but does the job.",2026-05-22,synthetic_v1
R00290,P0049,U0023,2,"Not worth the price, quality was disappointing.",2025-10-25,synthetic_v1
R00291,P0050,U0074,3,"Decent product, delivery took a while.",2026-01-14,synthetic_v1
R00292,P0050,U0111,2,"Sizing ran small, had to return it.",2025-12-28,synthetic_v1
R00293,P0050,U0051,1,"Sizing ran small, had to return it.",2026-02-19,synthetic_v1
R00294,P0051,U0055,4,True to size and holds up well after multiple washes.,2025-12-16,synthetic_v1
R00295,P0051,U0098,5,True to size and holds up well after multiple washes.,2026-06-13,synthetic_v1
R00296,P0052,U0098,4,Great fit and the fabric feels durable.,2026-02-17,synthetic_v1
R00297,P0052,U0098,4,Great fit and the fabric feels durable.,2026-03-31,synthetic_v1
R00298,P0052,U0020,5,Nice sustainable option that doesn't compromise on comfort.,2025-11-21,synthetic_v1
R00299,P0052,U0049,2,"Sizing ran small, had to return it.",2026-01-06,synthetic_v1
R00300,P0052,U0037,3,"Decent product, delivery took a while.",2026-02-20,synthetic_v1
R00301,P0052,U0062,5,Nice sustainable option that doesn't compromise on comfort.,2026-07-26,synthetic_v1
R00302,P0052,U0092,3,"It's okay, nothing special but does the job.",2026-01-03,synthetic_v1
R00303,P0052,U0118,2,Started wearing out after a few weeks.,2026-05-26,synthetic_v1
R00304,P0052,U0111,1,Fabric felt thinner than expected.,2025-12-18,synthetic_v1
R00305,P0052,U0052,3,"Decent product, delivery took a while.",2026-01-31,synthetic_v1
R00306,P0052,U0050,4,"Loved the material, very comfortable for daily wear.",2025-12-24,synthetic_v1
R00307,P0052,U0076,3,"Average quality, expected a bit more for the price.",2026-07-26,synthetic_v1
R00308,P0053,U0050,1,Fabric felt thinner than expected.,2025-11-15,synthetic_v1
R00309,P0053,U0098,2,Started wearing out after a few weeks.,2026-01-20,synthetic_v1
R00310,P0053,U0045,3,"Average quality, expected a bit more for the price.",2025-12-14,synthetic_v1
